"farm_id","county","district","species","production","capacity","x","y"
35,"Fulton","Roselle","duck","conventional",16316,414999.030144129,4670150.51058902
36,"Allegheny","Guttenberg","chicken","broiler_2",809,451082.237513468,4677837.28668374
37,"Allegheny","Cliffside Park","duck","conventional",16856,448322.404336008,4672305.25446209
38,"Fulton","Ocean","chicken","broiler_2",1347,426077.17889398,4660231.90289753
39,"Fulton","Linwood","duck","conventional",15009,424865.441686395,4646774.7608584
40,"Allegheny","Cliffside Park","chicken","broiler_2",2159,452366.581808465,4673200.90290228
41,"Fulton","Hightstown","duck","conventional",13574,407991.49628145,4660672.24234722
42,"Fulton","Pleasantville","duck","conventional",15225,412409.329721632,4654214.89787198
43,"Fulton","Newfield","duck","organic",526,430147.303153406,4669369.2179377
44,"Allegheny","Demarest","chicken","broiler_2",1494,444658.425164854,4657758.85383886
45,"Fulton","Newfield","duck","conventional",14929,425903.826497785,4662511.56981445
46,"Fulton","Dublin","chicken","layer",21024,427410.40664168,4645624.77271894
47,"Fulton","Linwood","chicken","broiler_2",859,420442.367126237,4645442.51435124
48,"Allegheny","Guttenberg","duck","organic",414,445524.767628611,4676170.67888048
49,"Allegheny","Cliffside Park","chicken","broiler_2",1409,447040.373590937,4671429.91605723
50,"Fulton","Ocean","chicken","broiler_2",2018,431789.102470928,4661515.15789156
51,"Fulton","Logan","chicken","broiler_1",5639,440985.158215273,4676657.03485415
52,"Fulton","Harding","duck","conventional",16330,435284.837667529,4650943.43780009
53,"Fulton","Hawthorne","chicken","broiler_2",1500,419694.89403526,4655921.19709578
54,"Fulton","Secaucus","chicken","broiler_2",2132,424074.986206176,4678295.12965639
55,"Fulton","Trenton","chicken","layer",18617,413550.640628739,4643740.48679874
56,"Allegheny","Guttenberg","chicken","broiler_2",1496,449104.927654323,4679600.19410668
57,"Allegheny","Aberdeen","duck","conventional",15669,442680.606063927,4667170.04982705
58,"Fulton","Roselle","duck","conventional",15475,413431.162663427,4668025.72902525
59,"Allegheny","Demarest","duck","conventional",14053,438510.905730262,4653545.29493894
60,"Fulton","Roselle","duck","conventional",12794,412991.373651504,4670598.5234825
61,"Fulton","Linwood","chicken","broiler_2",2097,423897.425512557,4645842.33078316
62,"Allegheny","Guttenberg","duck","organic",763,449747.241014075,4679637.87997205
63,"Allegheny","Rockleigh","duck","conventional",16799,437763.777403883,4644403.47993347
64,"Fulton","Newfield","duck","conventional",14375,422261.358821054,4661635.78810269
65,"Fulton","Hightstown","duck","conventional",15946,414468.404234953,4658677.27349927
66,"Fulton","Hightstown","duck","conventional",15064,410903.13976692,4662536.83078652
67,"Fulton","Clifton","duck","conventional",16486,418983.64967209,4661073.57931425
68,"Fulton","Hawthorne","duck","conventional",14043,422386.420986281,4655277.72024553
69,"Fulton","Secaucus","chicken","broiler_1",6450,426308.247370383,4677276.29137284
70,"Fulton","Trenton","chicken","broiler_1",4514,406669.358079174,4647491.68568089
71,"Allegheny","Aberdeen","duck","organic",927,447512.640441032,4665144.74633674
72,"Allegheny","Guttenberg","chicken","broiler_1",5324,446603.949964293,4678095.30872013
73,"Fulton","Washington","chicken","broiler_1",6652,406825.767785463,4664998.43933156
74,"Allegheny","Demarest","duck","conventional",16859,436794.256016446,4656636.73525864
75,"Fulton","Clifton","duck","conventional",15897,419649.383551341,4661583.72338928
76,"Fulton","Clifton","chicken","broiler_2",964,418573.146074602,4652830.76122419
77,"Fulton","Clifton","duck","conventional",14054,423201.389527041,4656078.41217709
78,"Fulton","Ocean","chicken","broiler_1",5263,425673.6063486,4658971.43520673
79,"Fulton","Trenton","chicken","broiler_1",5689,416529.888083096,4645283.09547416
80,"Fulton","Providence","duck","organic",539,421074.725433318,4637466.96821343
81,"Allegheny","Rockleigh","duck","conventional",17092,438714.640331164,4644902.06208457
82,"Fulton","Harding","duck","conventional",16192,432036.990283542,4640447.82116876
83,"Fulton","Newfield","chicken","broiler_1",5051,425182.554537924,4662506.28611953
84,"Fulton","Clifton","duck","conventional",15754,420880.679877838,4652738.1623257
85,"Fulton","Hawthorne","duck","conventional",17014,426291.760030266,4658606.43601673
86,"Fulton","Providence","duck","organic",924,426458.538756832,4639380.71830268
87,"Fulton","Hightstown","chicken","broiler_2",1487,417341.520252376,4661131.99768584
88,"Fulton","Newfield","duck","conventional",14616,428071.14733235,4665388.83574225
89,"Fulton","Ocean","duck","conventional",14867,426808.376195992,4660590.0494411
90,"Fulton","Pleasantville","duck","conventional",15338,409066.891935292,4657842.92005055
91,"Allegheny","Aberdeen","chicken","broiler_1",4579,440072.58067379,4662792.75425222
92,"Fulton","Harding","chicken","broiler_2",1009,431033.714951305,4640956.62700758
93,"Fulton","Harding","chicken","broiler_2",1443,435232.25765494,4645678.18538515
94,"Fulton","Hightstown","duck","conventional",14611,416031.009629535,4663820.4303028
95,"Fulton","Hawthorne","duck","conventional",14066,430684.173753501,4652928.35437256
96,"Allegheny","Demarest","chicken","broiler_2",2611,436594.194572915,4654617.0072152
97,"Fulton","Hulmeville","duck","organic",819,435425.838217563,4668550.14401702
98,"Fulton","Providence","duck","organic",997,419541.157362684,4638913.45762217
99,"Allegheny","Cliffside Park","chicken","broiler_2",1243,455348.350060491,4671743.0878115
100,"Fulton","Providence","chicken","broiler_2",732,423713.548478429,4640217.68045266
101,"Fulton","Hawthorne","duck","conventional",15087,420227.441787684,4655608.10605378
102,"Fulton","Ocean","chicken","broiler_1",4617,433924.829880525,4658424.9225615
103,"Allegheny","Aberdeen","chicken","layer",18792,445093.808212358,4668068.45047751
104,"Fulton","Pleasantville","duck","conventional",17009,409194.338460824,4656204.37439306
105,"Fulton","Ocean","chicken","layer",17913,433868.617636261,4656346.86697304
106,"Fulton","Ocean","chicken","broiler_2",1217,424650.789000711,4657141.78474062
107,"Fulton","Secaucus","duck","conventional",16403,416160.065531596,4681313.43247111
108,"Fulton","Dublin","duck","conventional",15730,427198.185407982,4646715.53166145
109,"Fulton","Linwood","chicken","broiler_2",622,418894.704425353,4646916.00359263
110,"Fulton","Pleasantville","chicken","broiler_1",6230,409517.80597904,4659000.81285652
111,"Fulton","Roselle","chicken","broiler_1",4459,419736.782333915,4669496.9932773
112,"Fulton","Clifton","duck","organic",1122,414541.043611067,4650119.23464936
113,"Allegheny","Demarest","duck","conventional",13034,436500.830840032,4650953.86777275
114,"Fulton","Hawthorne","duck","conventional",13965,430990.03781635,4653722.43356333
115,"Allegheny","Demarest","chicken","broiler_2",2431,440694.25064516,4651270.6210677
116,"Fulton","Hawthorne","chicken","broiler_2",680,426509.228471797,4652278.80549261
117,"Fulton","Hightstown","duck","organic",967,413889.202270023,4661859.16742858
118,"Fulton","Pleasantville","chicken","broiler_1",6095,411499.712393329,4653216.9848758
119,"Fulton","Trenton","duck","organic",782,407984.267056647,4646722.96854996
120,"Fulton","Newfield","duck","conventional",15199,422251.726647778,4671151.68511734
121,"Fulton","Harding","duck","conventional",15233,428328.620677648,4649241.22861273
122,"Fulton","Hulmeville","duck","conventional",16676,438351.290652948,4669812.38847996
123,"Fulton","Rockaway","duck","conventional",15438,416639.731144184,4642099.12009037
124,"Fulton","Hawthorne","chicken","broiler_2",1347,423608.984054352,4650774.96093591
125,"Fulton","Trenton","chicken","broiler_2",1852,414921.450912578,4647941.94043328
126,"Fulton","Trenton","duck","conventional",16206,414254.81216222,4647433.050068
127,"Fulton","Secaucus","duck","conventional",17063,418999.717651639,4674254.35082752
128,"Fulton","Pleasantville","chicken","broiler_1",4545,409138.232380673,4651903.30972498
129,"Allegheny","Demarest","duck","conventional",15653,440094.874480568,4657478.68298549
130,"Fulton","Newfield","chicken","broiler_2",2273,421576.261786495,4665423.41071209
131,"Allegheny","Aberdeen","duck","conventional",15355,441857.366047381,4666362.16850922
132,"Fulton","Trenton","duck","conventional",15098,409792.47485248,4640179.99056104
133,"Fulton","Logan","duck","conventional",15522,435603.69427938,4674263.61615983
134,"Allegheny","Demarest","chicken","broiler_2",1647,444762.979966986,4659457.28393063
135,"Fulton","Pleasantville","chicken","broiler_2",1808,411020.465939986,4653200.46186312
136,"Fulton","Pleasantville","duck","conventional",15867,409903.047135445,4656490.52318048
137,"Fulton","Providence","duck","organic",374,424789.516123136,4640425.80999445
138,"Fulton","Logan","chicken","broiler_2",979,440292.947812179,4676579.68681543
139,"Fulton","Providence","chicken","broiler_2",632,422003.045853142,4637868.01225131
140,"Fulton","Hightstown","duck","conventional",15240,415988.415448758,4663758.20072949
141,"Fulton","Clifton","duck","conventional",15888,421347.09653273,4656438.93153645
142,"Fulton","Trenton","chicken","broiler_1",7021,411151.827454814,4644603.35059205
143,"Fulton","Dublin","chicken","broiler_2",1553,424475.173858439,4640548.34975282
144,"Fulton","Dublin","duck","conventional",16075,427788.198387002,4647677.92549654
145,"Fulton","Hulmeville","chicken","broiler_1",5630,434831.421105329,4661771.49770885
146,"Fulton","Harding","chicken","layer",21104,433939.549295728,4647341.657732
147,"Allegheny","Aberdeen","duck","conventional",15253,444606.432518403,4666758.14152811
148,"Fulton","Harding","duck","conventional",14366,436178.948834964,4647922.830548
149,"Fulton","Newfield","duck","organic",880,426837.194002642,4668680.13959547
150,"Allegheny","Aberdeen","chicken","broiler_2",1338,442624.969538698,4663976.56194975
151,"Allegheny","Aberdeen","chicken","broiler_1",5444,438620.568255594,4667256.45907014
152,"Fulton","Logan","duck","conventional",14417,437945.806929424,4675378.7364073
153,"Fulton","Clifton","duck","conventional",15407,419266.500314853,4660330.45252125
154,"Fulton","Secaucus","chicken","broiler_1",5486,422455.366087162,4676118.64893474
155,"Allegheny","Rockleigh","duck","conventional",14398,435307.316244312,4649938.89816151
156,"Fulton","Roselle","chicken","layer",19628,421280.517394141,4672609.29742515
157,"Fulton","Secaucus","duck","conventional",13942,420527.282535191,4679632.30803719
158,"Allegheny","Guttenberg","duck","conventional",16252,453858.835326027,4681743.08752501
159,"Allegheny","Aberdeen","duck","conventional",14640,445268.198725632,4660997.09738532
160,"Fulton","Newfield","chicken","broiler_1",5777,429412.248682873,4665194.77438417
161,"Allegheny","Demarest","chicken","layer",17520,442744.71328782,4652224.92106432
162,"Fulton","Hawthorne","duck","conventional",13701,424826.342060592,4650624.38404738
163,"Allegheny","Aberdeen","duck","conventional",17069,442940.917026319,4668047.4591139
164,"Fulton","Ocean","duck","conventional",15895,426182.510960865,4659662.25720392
165,"Fulton","Hawthorne","chicken","broiler_1",5809,428122.889088073,4653874.99191814
166,"Allegheny","Demarest","duck","organic",323,439930.223318152,4662115.20155244
167,"Fulton","Clifton","chicken","layer",18695,418342.859451204,4651603.01777365
168,"Allegheny","Aberdeen","duck","organic",760,443193.455056924,4666408.44647401
169,"Fulton","Hulmeville","duck","conventional",15775,434285.855454084,4669272.20663427
170,"Fulton","Secaucus","duck","conventional",16026,418016.992308042,4681389.6750467
171,"Allegheny","Aberdeen","duck","conventional",15832,438556.003903002,4666926.50620435
172,"Allegheny","Aberdeen","duck","conventional",15059,442067.537845267,4671151.19949764
173,"Fulton","Secaucus","duck","organic",369,418946.224782507,4679680.04651563
174,"Fulton","Trenton","duck","organic",331,410013.877576187,4649235.70181952
175,"Allegheny","Aberdeen","chicken","broiler_2",1952,439682.981887284,4663820.91881769
176,"Fulton","Pleasantville","chicken","broiler_1",4368,409889.583993853,4660127.02977009
177,"Allegheny","Aberdeen","duck","organic",1210,443784.828687179,4670951.0594765
178,"Fulton","Logan","chicken","broiler_1",7672,440073.444282833,4679183.67645932
179,"Fulton","Newfield","duck","organic",1116,423178.009968931,4673693.10954123
180,"Fulton","Hawthorne","chicken","broiler_1",4075,424912.971607334,4654550.90714677
181,"Fulton","Harding","duck","conventional",16064,430667.254317198,4646211.23630583
182,"Fulton","Harding","duck","conventional",14843,431747.518903568,4641147.89369087
183,"Fulton","Hulmeville","chicken","broiler_1",5823,433647.682440626,4669968.49943094
184,"Allegheny","Aberdeen","duck","conventional",16569,439390.023167488,4664713.23509519
185,"Allegheny","Demarest","chicken","broiler_1",5310,440918.178232983,4659800.0418999
186,"Allegheny","Demarest","chicken","broiler_2",1493,436241.019278419,4653855.7145829
187,"Fulton","Hulmeville","duck","conventional",14182,431729.807820148,4667130.22437323
188,"Fulton","Ocean","chicken","broiler_2",1506,434537.103295874,4659300.49923046
189,"Fulton","Clifton","duck","conventional",15914,417492.282572613,4658833.62912586
190,"Allegheny","Cliffside Park","duck","conventional",13084,447258.617642999,4672639.76292083
191,"Fulton","Harding","duck","conventional",16150,434651.597785473,4653996.36096356
192,"Fulton","Washington","duck","conventional",15503,405847.786593704,4667865.4159515
193,"Fulton","Washington","chicken","broiler_2",1048,406219.321119427,4667098.6812695
194,"Fulton","Trenton","duck","organic",1600,412693.801799912,4642195.08850601
195,"Fulton","Hightstown","chicken","broiler_1",5097,412862.237094939,4662379.80463691
196,"Allegheny","Rockleigh","chicken","broiler_2",1411,441485.411491161,4650379.80510579
197,"Fulton","Clifton","duck","conventional",17275,416237.577903861,4650171.24698936
198,"Fulton","Ocean","duck","conventional",14176,432387.375535746,4657769.22485969
199,"Fulton","Washington","chicken","broiler_2",2097,411443.804718988,4663112.61724162
200,"Fulton","Rockaway","chicken","broiler_1",5304,416754.792341894,4640430.43403467
201,"Fulton","Secaucus","duck","conventional",15476,426621.627700727,4677263.51215422
202,"Fulton","Secaucus","chicken","broiler_2",1281,418438.563807474,4681926.44520568
203,"Fulton","Ocean","duck","conventional",14275,431113.096096323,4655251.90764472
204,"Fulton","Hightstown","duck","conventional",16221,410855.486464399,4662641.73513971
205,"Fulton","Ocean","duck","conventional",16248,433214.128633563,4657556.58543273
206,"Fulton","Pleasantville","duck","conventional",13559,411033.843726892,4652669.55649419
207,"Fulton","Providence","chicken","layer",18655,424564.122776988,4638489.94809607
208,"Allegheny","Demarest","duck","conventional",13841,439781.54194693,4656650.39432806
209,"Fulton","Hawthorne","chicken","broiler_2",2404,425114.868318261,4657245.28748787
210,"Fulton","Logan","duck","conventional",14304,435319.575694157,4676118.03843639
211,"Fulton","Rockaway","chicken","broiler_1",5374,416012.966095284,4636568.62945525
212,"Fulton","Secaucus","chicken","broiler_2",609,426780.598851341,4678593.2065203
213,"Fulton","Hulmeville","chicken","broiler_2",614,430911.012447395,4664379.42237798
214,"Fulton","Rockaway","duck","conventional",15858,422164.552753118,4634313.21810449
215,"Fulton","Trenton","chicken","broiler_1",6691,407626.257583542,4650680.34517734
216,"Fulton","Hightstown","duck","conventional",16229,414673.220332666,4660374.62446185
217,"Fulton","Logan","duck","conventional",15069,438961.472852866,4669953.69737707
218,"Fulton","Hightstown","chicken","broiler_1",3884,413973.989089755,4659744.0429443
219,"Fulton","Secaucus","duck","organic",1199,424719.865163777,4680028.30340435
220,"Fulton","Pleasantville","duck","conventional",15918,415003.348368399,4654378.80342674
221,"Fulton","Linwood","chicken","broiler_2",1823,420723.632245731,4642934.408828
222,"Fulton","Secaucus","duck","conventional",16489,419153.621277352,4674351.71385248
223,"Fulton","Harding","chicken","broiler_2",1789,434446.879328431,4652125.80207952
224,"Fulton","Pleasantville","chicken","broiler_1",6067,416419.465986624,4654752.08017745
225,"Fulton","Harding","chicken","layer",18254,433151.109345252,4644618.78416171
226,"Fulton","Roselle","chicken","broiler_2",1484,418097.699791796,4669728.00932042
227,"Fulton","Harding","chicken","broiler_2",937,435020.780060217,4646920.47224638
228,"Fulton","Dublin","chicken","broiler_2",1267,428488.057607136,4643433.66297159
229,"Fulton","Ocean","chicken","broiler_2",2467,425621.637761395,4660211.69094665
230,"Fulton","Logan","duck","conventional",14995,432124.722608647,4674513.80497757
231,"Fulton","Hawthorne","chicken","broiler_2",728,427121.918115785,4651839.85374308
232,"Allegheny","Cliffside Park","duck","conventional",15313,451676.954155609,4672874.6179509
233,"Fulton","Clifton","duck","organic",932,421481.491238562,4657929.87319559
234,"Fulton","Logan","chicken","broiler_2",1955,438593.583616566,4671558.11671461
235,"Fulton","Pleasantville","chicken","broiler_2",1353,406137.993406883,4656896.2806002
236,"Allegheny","Guttenberg","duck","conventional",16059,453025.900050832,4681912.40715468
237,"Fulton","Pleasantville","duck","conventional",14158,411081.686420437,4657119.43518354
238,"Allegheny","Aberdeen","duck","conventional",16959,447689.256675657,4662578.02718318
239,"Fulton","Pleasantville","chicken","broiler_2",1250,413148.387776429,4655107.36124001
240,"Fulton","Dublin","duck","conventional",17022,428528.392093452,4644267.17325873
241,"Fulton","Logan","duck","conventional",15728,436497.809641356,4677525.06300491
242,"Fulton","Harding","duck","conventional",15591,428763.780923089,4647990.2517345
243,"Fulton","Secaucus","duck","conventional",14932,419386.143183635,4679687.66505396
244,"Fulton","Logan","duck","conventional",18059,433528.183998211,4673745.44550088
245,"Allegheny","Aberdeen","duck","conventional",14401,439907.810519097,4666384.87487415
246,"Fulton","Harding","duck","conventional",16367,428884.580875953,4652999.37471457
247,"Fulton","Ocean","chicken","broiler_2",2249,433016.101889107,4656602.29842717
248,"Fulton","Ocean","duck","conventional",15800,435812.360529125,4655645.99940926
249,"Fulton","Washington","chicken","broiler_2",811,414783.34785922,4665195.99875445
250,"Fulton","Providence","duck","organic",327,421587.279543983,4640590.55714566
251,"Fulton","Harding","duck","conventional",13371,428801.600318672,4648439.01750106
252,"Fulton","Providence","chicken","broiler_2",2114,418397.613788226,4640071.9470155
253,"Fulton","Logan","duck","conventional",13516,440620.433448329,4675509.36187069
254,"Fulton","Secaucus","duck","conventional",15645,421431.509923993,4676646.67800203
255,"Fulton","Logan","duck","conventional",14542,428528.807997571,4672906.69906529
256,"Fulton","Trenton","duck","conventional",14060,413900.803925511,4648436.6130125
257,"Fulton","Dublin","duck","conventional",17305,429531.883867212,4641971.5542384
258,"Allegheny","Rockleigh","chicken","broiler_1",4264,439678.899439038,4644209.21022364
259,"Fulton","Clifton","duck","conventional",15614,423793.591708829,4656642.41181235
260,"Fulton","Secaucus","duck","conventional",15585,416384.145989951,4678121.66049435
261,"Fulton","Newfield","chicken","broiler_2",1481,422427.063290538,4663691.10183694
262,"Fulton","Roselle","chicken","broiler_1",5022,417477.486274216,4666160.49634177
263,"Fulton","Secaucus","chicken","broiler_1",6259,419215.7446253,4674674.68334853
264,"Fulton","Logan","duck","organic",1143,429499.380392425,4676507.99601108
265,"Fulton","Hawthorne","duck","conventional",17159,424810.244329264,4656620.67060445
266,"Fulton","Rockaway","duck","conventional",13123,417262.674757971,4639689.93769736
267,"Fulton","Newfield","chicken","broiler_2",1607,423011.547039314,4662172.76007373
268,"Fulton","Roselle","duck","conventional",15922,417668.796385916,4667147.95070588
269,"Fulton","Clifton","chicken","broiler_2",1030,420188.361469763,4657747.47025756
270,"Fulton","Newfield","chicken","broiler_1",5692,430518.944163932,4667736.7795726
271,"Fulton","Secaucus","duck","conventional",14476,419955.383769508,4678829.64180769
272,"Fulton","Logan","duck","conventional",15784,430740.488520084,4674189.68144525
273,"Allegheny","Demarest","chicken","broiler_2",1486,443819.093419082,4660316.87911747
274,"Fulton","Linwood","duck","conventional",15632,422840.705817568,4648932.85803968
275,"Allegheny","Aberdeen","duck","conventional",14186,447913.431527811,4661544.95935869
276,"Allegheny","Demarest","duck","conventional",15508,435075.187023544,4653716.95520706
277,"Fulton","Pleasantville","chicken","broiler_2",1697,407325.613144015,4658494.06560417
278,"Fulton","Ocean","chicken","broiler_1",5543,428711.93790461,4663689.03636755
279,"Fulton","Logan","duck","conventional",16483,428503.8907588,4675647.69419401
280,"Fulton","Rockaway","duck","conventional",15925,422153.592179907,4635539.98632957
281,"Allegheny","Cliffside Park","duck","conventional",15302,448619.386852844,4673189.37761028
282,"Allegheny","Demarest","duck","organic",1004,449722.727359056,4660359.98771697
283,"Fulton","Logan","duck","conventional",15713,434387.665027162,4677973.03871475
284,"Allegheny","Aberdeen","duck","organic",734,438883.270823632,4667977.71326267
285,"Fulton","Newfield","chicken","broiler_2",1315,425814.661051838,4666169.6378159
286,"Allegheny","Cliffside Park","chicken","broiler_2",1980,453972.686306049,4677519.70866686
287,"Fulton","Linwood","duck","conventional",14263,417846.847366965,4648689.12179842
288,"Fulton","Hulmeville","chicken","layer",18603,430494.118240102,4664085.9318658
289,"Fulton","Trenton","chicken","broiler_2",1576,411584.919270797,4644955.34380665
290,"Fulton","Clifton","duck","conventional",14211,421790.22241738,4661277.38382345
291,"Fulton","Trenton","duck","conventional",14521,410564.551473612,4639548.83815344
292,"Fulton","Linwood","duck","conventional",16319,419780.241631367,4647349.67078062
293,"Fulton","Hightstown","duck","conventional",14449,415409.933137485,4660772.59991729
294,"Fulton","Secaucus","chicken","broiler_2",2825,426770.601276659,4676061.09169266
295,"Fulton","Roselle","chicken","broiler_2",2423,417585.154569333,4670345.82137657
296,"Fulton","Harding","chicken","broiler_2",670,433126.359000085,4654231.42544985
297,"Fulton","Providence","duck","conventional",16116,423136.175244169,4640764.81153173
298,"Fulton","Ocean","chicken","broiler_2",1328,428170.787801033,4663060.35652638
299,"Allegheny","Aberdeen","chicken","broiler_2",1284,443593.78632706,4663387.96101871
300,"Allegheny","Cliffside Park","duck","conventional",15949,445892.536767361,4673659.72470853
301,"Fulton","Washington","chicken","broiler_2",1848,416741.377923422,4665105.37208754
302,"Fulton","Hawthorne","chicken","broiler_2",1051,430257.608502316,4655025.83045284
303,"Allegheny","Guttenberg","duck","conventional",17197,445037.551059318,4678297.89922697
304,"Fulton","Trenton","duck","conventional",15301,408784.792079654,4648955.39374178
305,"Fulton","Hightstown","chicken","broiler_2",1532,417726.344641202,4661723.79652671
306,"Fulton","Newfield","duck","conventional",14655,427418.307915634,4664883.01500439
307,"Allegheny","Demarest","duck","conventional",15064,444019.482832139,4657138.49655505
308,"Allegheny","Demarest","duck","organic",907,448831.562906831,4659885.33638169
309,"Fulton","Roselle","duck","conventional",16383,414570.960101428,4668996.25662901
310,"Fulton","Ocean","chicken","broiler_2",2417,430873.450804726,4656227.32521069
311,"Fulton","Linwood","duck","conventional",16843,421933.676036849,4647758.28024747
312,"Fulton","Ocean","chicken","broiler_2",2101,428232.136479423,4658455.43525987
313,"Fulton","Providence","chicken","broiler_1",6229,420785.169611762,4640479.76889968
314,"Fulton","Hightstown","chicken","broiler_2",2212,414599.543674446,4656741.121063
315,"Fulton","Secaucus","duck","conventional",16479,421981.303754061,4673434.35377914
316,"Fulton","Ocean","chicken","broiler_1",4264,433514.959701859,4658589.36190359
317,"Fulton","Dublin","chicken","broiler_2",546,424823.84728863,4642927.7851239
318,"Fulton","Trenton","chicken","broiler_2",1628,412715.837045155,4642025.17182227
319,"Fulton","Logan","chicken","broiler_1",7961,434799.126937569,4674844.19641816
320,"Fulton","Clifton","duck","conventional",15003,419133.680470889,4659139.43268132
321,"Allegheny","Demarest","chicken","broiler_2",1404,445765.821710588,4659811.73346562
322,"Fulton","Ocean","duck","conventional",14937,434111.886238615,4654983.87232857
323,"Fulton","Dublin","duck","conventional",17018,422265.052883926,4644027.85533262
324,"Allegheny","Demarest","duck","conventional",17345,448379.274532766,4660461.13486723
325,"Fulton","Hulmeville","duck","conventional",15126,435105.172433102,4667359.49276641
326,"Fulton","Dublin","duck","conventional",14497,428149.987042269,4644458.60904259
327,"Allegheny","Demarest","chicken","broiler_1",5462,438817.343504357,4658100.40210429
328,"Fulton","Hawthorne","duck","conventional",12635,425437.050286883,4651032.40423034
329,"Fulton","Secaucus","chicken","broiler_2",1721,419231.534423269,4677705.47007261
330,"Allegheny","Guttenberg","chicken","broiler_2",1937,452040.000425241,4683388.44082878
331,"Allegheny","Guttenberg","duck","conventional",14068,445532.784155944,4677344.60390318
332,"Fulton","Rockaway","duck","conventional",16749,419525.872661031,4634402.08794193
333,"Fulton","Hightstown","duck","organic",877,417332.749695517,4661930.9555213
334,"Fulton","Trenton","chicken","broiler_1",5497,408781.659434259,4650478.9064549
335,"Allegheny","Cliffside Park","duck","organic",1053,452224.934051802,4673357.84513373
336,"Fulton","Hightstown","chicken","layer",17726,410387.582445722,4660228.2530502
337,"Fulton","Harding","chicken","broiler_1",6058,433893.571472145,4642300.34639538
338,"Allegheny","Demarest","duck","conventional",13979,437518.483330184,4657233.77822781
339,"Fulton","Secaucus","duck","conventional",15680,426793.048829491,4678061.72551595
340,"Fulton","Hawthorne","duck","organic",784,423595.595129118,4655000.25748296
341,"Fulton","Washington","duck","organic",1594,410059.142837715,4666283.38317787
342,"Fulton","Hulmeville","duck","conventional",15991,434390.295859618,4663802.27088096
343,"Fulton","Newfield","duck","organic",489,427410.785316727,4668898.37376662
344,"Fulton","Logan","duck","conventional",13537,437072.991904675,4671215.12334978
345,"Fulton","Dublin","chicken","broiler_2",771,431166.842930967,4645242.05064372
346,"Allegheny","Demarest","duck","conventional",16225,440681.022661932,4651866.23569554
347,"Fulton","Washington","duck","conventional",13922,411847.165383709,4667711.94923102
348,"Allegheny","Aberdeen","duck","conventional",15755,442344.210429975,4669447.62051034
349,"Fulton","Dublin","chicken","broiler_1",7270,423127.44137987,4641450.89438516
350,"Allegheny","Demarest","chicken","broiler_2",1564,450041.868617799,4660640.13607852
351,"Allegheny","Cliffside Park","duck","organic",1390,451380.193522157,4675794.45155214
