"farm_id","date_start","date_end","volume"
30,2025-08-18,2025-09-07,6698
30,2025-09-30,2025-10-20,6913
30,2025-11-13,2025-12-03,6730
30,2025-12-30,,6627
31,2025-08-19,2025-09-15,912
31,2025-10-08,2025-11-04,931
31,2025-11-28,2025-12-29,932
32,2025-08-18,2025-10-11,16626
32,2025-11-03,2025-12-29,16388
33,2025-08-06,2025-09-02,1932
33,2025-09-26,2025-10-23,1929
33,2025-11-14,2025-12-11,1932
33,2026-01-05,,1914
34,2025-08-12,2025-10-04,13612
34,2025-10-30,2025-12-26,13969
35,2025-07-24,2025-09-12,15473
35,2025-10-05,2025-11-26,15832
35,2025-12-19,,16183
36,2025-08-12,2025-09-08,808
36,2025-10-01,2025-10-28,808
36,2025-11-19,2025-12-17,795
36,2026-01-10,,804
37,2025-08-04,2025-09-23,16729
37,2025-10-17,2025-12-04,16121
37,2025-12-29,,16496
38,2025-08-26,2025-09-22,1325
38,2025-10-16,2025-11-12,1330
38,2025-12-04,2026-01-04,1337
39,2025-08-14,2025-10-01,14110
39,2025-10-24,2025-12-11,14191
39,2026-01-10,,14480
40,2025-09-19,2025-10-16,2149
40,2025-11-08,2025-12-05,2151
40,2025-12-31,,2153
41,2025-07-24,2025-09-11,13564
41,2025-10-06,2025-11-26,13199
41,2025-12-21,,12767
42,2025-08-06,2025-09-30,14614
42,2025-10-24,2025-12-12,14993
42,2026-01-08,,14762
43,2025-06-21,2025-09-05,512
43,2025-09-27,2025-12-16,514
43,2026-01-09,,513
44,2025-08-20,2025-09-16,1481
44,2025-10-10,2025-11-06,1450
44,2025-11-28,2025-12-29,1472
45,2025-07-26,2025-09-15,14721
45,2025-10-09,2025-11-27,14170
45,2025-12-26,,14846
46,2025-01-01,,20739
47,2025-08-10,2025-09-06,848
47,2025-09-29,2025-10-26,848
47,2025-11-17,2025-12-15,844
47,2026-01-10,,844
48,2025-07-20,2025-09-29,413
48,2025-10-23,,405
49,2025-09-15,2025-10-12,1409
49,2025-11-04,2025-12-01,1401
49,2025-12-27,,1382
51,2025-08-29,2025-09-18,5581
51,2025-10-21,2025-11-10,5359
51,2025-12-26,,5361
52,2025-07-15,2025-09-03,16111
52,2025-09-25,2025-11-17,15811
52,2025-12-11,,15854
53,2025-08-20,2025-09-16,1484
53,2025-10-12,2025-11-08,1491
53,2025-12-02,2026-01-02,1495
54,2025-08-11,2025-09-07,2110
54,2025-09-29,2025-10-26,2131
54,2025-11-17,2025-12-15,2092
54,2026-01-09,,2082
55,2025-04-09,,18564
57,2025-09-13,2025-10-31,14897
57,2025-11-25,,15639
58,2025-07-27,2025-09-18,15230
58,2025-10-10,2025-12-04,14871
58,2025-12-30,,15183
59,2025-07-29,2025-09-22,13415
59,2025-10-14,2025-12-08,13333
59,2026-01-07,,13306
60,2025-07-26,2025-09-14,12044
60,2025-10-06,2025-11-25,12069
60,2025-12-20,,12387
61,2025-09-08,2025-10-05,2018
61,2025-10-27,2025-11-23,2092
61,2025-12-15,,2090
62,2025-08-08,2025-10-26,748
62,2025-11-21,,755
63,2025-08-14,2025-10-08,16679
63,2025-11-04,2025-12-29,15863
64,2025-08-29,2025-10-21,13850
64,2025-11-12,2026-01-07,13854
65,2025-08-18,2025-10-05,15412
65,2025-10-29,2025-12-25,15091
66,2025-08-16,2025-10-08,14324
66,2025-11-01,2025-12-26,14767
67,2025-07-21,2025-09-09,16045
67,2025-10-06,2025-11-27,15872
67,2025-12-20,,15687
68,2025-07-28,2025-09-19,13705
68,2025-10-12,2025-12-04,13706
68,2025-12-29,,13424
69,2025-09-27,2025-10-17,6185
69,2025-11-14,2025-12-04,6433
69,2026-01-04,,6249
70,2025-09-02,2025-09-22,4269
70,2025-10-22,2025-11-11,4284
70,2025-12-10,2026-01-03,4356
71,2025-09-02,2025-11-16,887
71,2025-12-08,,901
72,2025-10-03,2025-10-23,5103
72,2025-12-07,2025-12-31,5006
73,2025-09-19,2025-10-09,6570
73,2025-11-06,2025-11-26,6571
73,2025-12-22,,6631
74,2025-08-16,2025-10-06,15934
74,2025-11-02,2025-12-29,16036
75,2025-09-17,2025-11-05,15420
75,2025-11-29,,15883
76,2025-08-22,2025-09-18,936
76,2025-10-11,2025-11-07,937
76,2025-11-30,2025-12-31,961
77,2025-09-21,2025-11-09,13231
77,2025-12-02,,13570
78,2025-08-17,2025-09-06,4970
78,2025-10-18,2025-11-07,5106
78,2025-12-22,,5258
79,2025-09-14,2025-10-04,5598
79,2025-11-08,2025-11-28,5470
79,2026-01-10,,5642
80,2025-08-01,2025-10-12,523
80,2025-11-03,,528
81,2025-07-27,2025-09-14,16152
81,2025-10-06,2025-11-26,16100
81,2025-12-18,,16769
82,2025-07-18,2025-09-10,15440
82,2025-10-03,2025-11-24,16077
82,2025-12-21,,15522
83,2025-10-09,2025-10-29,4924
83,2025-12-12,2026-01-05,4871
84,2025-08-29,2025-10-16,15354
84,2025-11-08,2026-01-05,15063
85,2025-08-01,2025-09-20,16527
85,2025-10-15,2025-12-09,16055
85,2026-01-05,,16161
86,2025-07-02,2025-09-14,917
86,2025-10-11,2026-01-03,884
87,2025-08-20,2025-09-16,1446
87,2025-10-10,2025-11-06,1466
87,2025-11-28,2025-12-29,1442
88,2025-08-15,2025-10-04,14479
88,2025-10-26,2025-12-17,14121
89,2025-08-27,2025-10-16,14231
89,2025-11-08,2026-01-04,14733
90,2025-08-18,2025-10-06,15314
90,2025-10-28,2025-12-25,14621
91,2025-08-30,2025-09-19,4355
91,2025-10-22,2025-11-11,4444
91,2025-12-12,2026-01-05,4104
92,2025-08-18,2025-09-14,976
92,2025-10-06,2025-11-02,994
92,2025-11-25,2025-12-26,996
93,2025-08-26,2025-09-22,1443
93,2025-10-14,2025-11-10,1402
93,2025-12-02,2026-01-02,1417
94,2025-09-02,2025-10-24,14489
94,2025-11-16,,13979
95,2025-08-29,2025-10-23,13468
95,2025-11-15,2026-01-09,13727
96,2025-08-14,2025-09-10,2608
96,2025-10-02,2025-10-29,2547
96,2025-11-20,2025-12-18,2588
96,2026-01-12,,2594
97,2025-08-18,2025-10-28,812
97,2025-11-21,,773
98,2025-07-21,2025-10-09,980
98,2025-11-01,,981
99,2025-08-13,2025-09-09,1217
99,2025-10-01,2025-10-28,1219
99,2025-11-19,2025-12-17,1212
99,2026-01-11,,1242
100,2025-09-04,2025-10-01,713
100,2025-10-25,2025-11-21,708
100,2025-12-13,,713
101,2025-09-20,2025-11-12,14735
101,2025-12-05,,14389
102,2025-09-03,2025-09-23,4425
102,2025-11-03,2025-11-23,4413
102,2026-01-02,,4391
103,2025-08-11,,18669
104,2025-08-08,2025-09-25,16116
104,2025-10-18,2025-12-12,16746
104,2026-01-08,,16686
105,2025-07-19,,17670
106,2025-09-01,2025-09-28,1203
106,2025-10-20,2025-11-16,1177
106,2025-12-08,2026-01-08,1203
107,2025-08-24,2025-10-11,16024
107,2025-11-02,2025-12-26,15507
108,2025-09-09,2025-10-28,14916
108,2025-11-20,,15255
109,2025-09-13,2025-10-10,617
109,2025-11-01,2025-11-28,612
109,2025-12-20,,617
110,2025-08-25,2025-09-14,6185
110,2025-10-10,2025-10-30,6141
110,2025-12-02,2025-12-26,5917
111,2025-09-24,2025-10-14,4216
111,2025-11-09,2025-11-29,4264
111,2025-12-27,,3937
112,2025-09-11,2025-11-22,1096
112,2025-12-15,,1090
113,2025-09-08,2025-11-01,12674
113,2025-11-23,,12743
114,2025-07-20,2025-09-09,13899
114,2025-10-01,2025-11-18,13379
114,2025-12-10,,13606
115,2025-08-08,2025-09-04,2415
115,2025-09-26,2025-10-23,2408
115,2025-11-14,2025-12-11,2390
115,2026-01-05,,2412
116,2025-09-05,2025-10-02,666
116,2025-10-25,2025-11-21,666
116,2025-12-13,,675
117,2025-07-14,2025-10-04,942
117,2025-10-26,,950
118,2025-08-20,2025-09-09,6032
118,2025-10-09,2025-10-29,5875
118,2025-12-06,2025-12-30,5759
119,2025-08-01,2025-10-16,769
119,2025-11-08,,772
120,2025-08-05,2025-09-26,15079
120,2025-10-21,2025-12-08,15175
120,2026-01-02,,15141
121,2025-08-10,2025-09-28,14494
121,2025-10-21,2025-12-11,14936
121,2026-01-12,,14803
122,2025-07-09,2025-08-31,16418
122,2025-09-23,2025-11-10,16445
122,2025-12-06,,16001
123,2025-09-14,2025-11-07,15334
123,2025-11-30,,14583
124,2025-08-08,2025-09-04,1332
124,2025-09-28,2025-10-25,1345
124,2025-11-16,2025-12-13,1324
124,2025-12-14,2025-12-14,
124,2026-01-08,,1324
125,2025-08-16,2025-09-12,1850
125,2025-10-04,2025-10-31,1829
125,2025-11-24,2025-12-25,1821
126,2025-08-07,2025-09-28,15631
126,2025-10-21,2025-12-08,15241
126,2026-01-03,,15460
127,2025-07-23,2025-09-14,16109
127,2025-10-08,2025-11-25,16540
127,2025-12-17,,16567
128,2025-08-18,2025-09-07,4314
128,2025-10-11,2025-10-31,4283
128,2025-11-25,2025-12-16,4294
128,2026-01-13,,4329
129,2025-07-28,2025-09-18,15458
129,2025-10-12,2025-12-01,14725
129,2025-12-26,,14811
130,2025-08-17,2025-09-13,2235
130,2025-10-05,2025-11-01,2271
130,2025-11-23,2025-12-21,2253
131,2025-09-10,2025-10-29,15034
131,2025-11-26,,15081
132,2025-07-23,2025-09-12,14750
132,2025-10-05,2025-11-23,14387
132,2025-12-22,,14264
133,2025-08-04,2025-09-26,15390
133,2025-10-20,2025-12-09,14695
133,2026-01-04,,15035
135,2025-08-28,2025-09-24,1771
135,2025-10-16,2025-11-12,1780
135,2025-12-05,2026-01-05,1803
136,2025-08-19,2025-10-10,15413
136,2025-11-04,2025-12-30,15512
137,2025-07-28,2025-10-12,368
137,2025-11-04,,352
138,2025-08-12,2025-09-08,963
138,2025-09-30,2025-10-27,977
138,2025-11-19,2025-12-17,975
138,2026-01-10,,968
139,2025-09-20,2025-10-17,627
139,2025-11-09,2025-12-06,610
139,2026-01-03,,617
140,2025-08-09,2025-10-03,14634
140,2025-10-25,2025-12-18,14330
140,2026-01-11,,14623
141,2025-08-09,2025-10-02,15105
141,2025-10-29,2025-12-25,15776
142,2025-09-21,2025-10-11,6910
142,2025-11-03,2025-11-23,6659
142,2025-12-18,2026-01-11,6668
143,2025-09-20,2025-10-17,1523
143,2025-11-08,2025-12-05,1527
143,2025-12-30,,1508
144,2025-07-19,2025-09-10,15136
144,2025-10-02,2025-11-24,15545
144,2025-12-18,,15640
145,2025-10-05,2025-10-25,5618
145,2025-12-03,2025-12-27,5476
146,2024-08-23,2025-09-26,19841
146,2025-10-19,,20630
147,2025-08-26,2025-10-19,14487
147,2025-11-12,2026-01-04,14507
148,2025-08-01,2025-09-24,14152
148,2025-10-17,2025-12-09,14236
148,2026-01-05,,13767
149,2025-08-01,2025-10-12,851
149,2025-11-08,,832
150,2025-08-10,2025-09-06,1323
150,2025-09-29,2025-10-26,1337
150,2025-11-17,2025-12-15,1329
150,2026-01-10,,1327
152,2025-07-23,2025-09-14,13711
152,2025-10-08,2025-11-28,13663
152,2025-12-20,,13783
153,2025-09-14,2025-11-04,14516
153,2025-11-27,,14899
155,2025-09-05,2025-10-23,14178
155,2025-11-17,,13686
156,2025-07-03,,19351
157,2025-08-29,2025-10-17,13672
157,2025-11-09,2026-01-01,13855
158,2025-07-23,2025-09-11,15778
158,2025-10-07,2025-11-28,15702
158,2025-12-26,,16007
159,2025-08-01,2025-09-24,14099
159,2025-10-18,2025-12-09,13795
159,2026-01-06,,13970
160,2025-09-15,2025-10-05,5740
160,2025-11-10,2025-11-30,5525
160,2026-01-10,,5735
161,2025-04-21,,17234
162,2025-08-12,2025-10-01,13209
162,2025-10-24,2025-12-18,13121
163,2025-07-22,2025-09-15,16049
163,2025-10-07,2025-11-24,16158
163,2025-12-22,,16674
164,2025-08-31,2025-10-23,15799
164,2025-11-16,,14997
165,2025-08-28,2025-09-17,5746
165,2025-10-18,2025-11-07,5724
165,2025-12-08,2026-01-01,5685
166,2025-06-25,2025-09-10,316
166,2025-10-03,2025-12-16,316
166,2026-01-11,,317
167,2025-02-05,,18611
168,2025-08-25,2025-11-02,758
168,2025-11-24,,717
169,2025-08-03,2025-09-20,14930
169,2025-10-15,2025-12-03,15103
169,2025-12-28,,15223
170,2025-07-31,2025-09-21,15177
170,2025-10-14,2025-12-01,15579
170,2025-12-31,,15885
171,2025-08-18,2025-10-08,15599
171,2025-10-31,2025-12-25,15586
172,2025-07-18,2025-09-09,14332
172,2025-10-03,2025-11-21,15021
172,2025-12-16,,14978
173,2025-09-08,2025-11-19,360
173,2025-12-12,,349
174,2025-08-31,2025-11-22,321
174,2025-12-16,,323
175,2025-09-14,2025-10-11,1947
175,2025-11-02,2025-11-29,1908
175,2025-12-21,,1950
176,2025-09-18,2025-10-08,4299
176,2025-11-01,2025-11-21,4290
176,2025-12-17,2026-01-10,4175
177,2025-09-10,2025-11-21,1191
177,2025-12-13,,1197
178,2025-08-17,2025-09-06,7357
178,2025-09-29,2025-10-19,7564
178,2025-11-12,2025-12-02,7590
178,2025-12-27,,7395
179,2025-07-06,2025-09-27,1052
179,2025-10-20,2026-01-05,1058
180,2025-09-15,2025-10-05,3892
180,2025-10-30,2025-11-19,3857
180,2025-12-12,2026-01-05,3682
181,2025-09-23,2025-11-17,15657
181,2025-12-12,,15527
182,2025-08-06,2025-09-28,14189
182,2025-10-20,2025-12-15,14544
183,2025-10-02,2025-10-22,5808
183,2025-11-28,2025-12-19,5600
184,2025-07-22,2025-09-11,15871
184,2025-10-08,2025-11-27,15857
184,2025-12-22,,16470
185,2025-08-16,2025-09-05,5099
185,2025-10-12,2025-11-01,5001
185,2025-12-15,2026-01-08,5103
186,2025-08-17,2025-09-13,1472
186,2025-10-05,2025-11-01,1490
186,2025-11-27,2025-12-28,1455
187,2025-09-15,2025-11-09,13575
187,2025-12-05,,13340
188,2025-09-15,2025-10-12,1487
188,2025-11-04,2025-12-01,1499
188,2025-12-26,,1491
189,2025-09-09,2025-10-27,15639
189,2025-11-18,,15878
190,2025-07-30,2025-09-18,12689
190,2025-10-10,2025-12-03,12956
190,2025-12-28,,12304
191,2025-07-31,2025-09-18,16090
191,2025-10-11,2025-12-05,15201
191,2026-01-04,,15508
192,2025-08-25,2025-10-17,15012
192,2025-11-12,2026-01-07,14689
193,2025-09-22,2025-10-19,1048
193,2025-11-10,2025-12-07,1032
193,2026-01-01,,1019
194,2025-08-01,2025-10-16,1520
194,2025-11-07,,1534
195,2025-10-01,2025-10-21,4876
195,2025-12-01,2025-12-25,5034
196,2025-08-08,2025-09-04,1391
196,2025-09-26,2025-10-23,1397
196,2025-11-15,2025-12-12,1372
196,2026-01-07,,1410
197,2025-09-06,2025-10-25,17114
197,2025-11-16,2026-01-11,16716
198,2025-08-21,2025-10-14,13837
198,2025-11-05,2026-01-03,13829
199,2025-09-12,2025-10-09,2069
199,2025-11-02,2025-11-29,2066
199,2025-12-21,,2068
200,2025-08-24,2025-09-13,5142
200,2025-10-30,2025-11-19,5058
200,2026-01-01,,5065
201,2025-08-05,2025-09-26,14564
201,2025-10-18,2025-12-06,14806
201,2025-12-31,,15306
202,2025-08-04,2025-08-31,1253
202,2025-09-22,2025-10-19,1265
202,2025-11-10,2025-12-07,1258
202,2026-01-01,,1251
203,2025-08-09,2025-09-29,13811
203,2025-10-21,2025-12-16,13736
203,2026-01-09,,13955
204,2025-07-10,2025-08-31,15872
204,2025-09-22,2025-11-11,15420
204,2025-12-05,,15891
205,2025-07-20,2025-09-09,15780
205,2025-10-02,2025-11-20,15781
205,2025-12-15,,15918
206,2025-09-19,2025-11-08,13265
206,2025-12-01,,13018
207,2025-02-26,,18452
208,2025-09-02,2025-10-25,13555
208,2025-11-17,2026-01-09,13792
209,2025-08-24,2025-09-20,2378
209,2025-10-12,2025-11-08,2372
209,2025-11-30,2025-12-31,2368
210,2025-09-18,2025-11-09,13583
210,2025-12-01,,13489
211,2025-08-17,2025-09-06,5355
211,2025-10-18,2025-11-07,5360
211,2025-12-13,2026-01-06,5238
212,2025-08-17,2025-09-13,605
212,2025-10-05,2025-11-01,608
212,2025-11-26,2025-12-27,607
213,2025-08-24,2025-09-20,612
213,2025-10-12,2025-11-08,613
213,2025-12-01,2026-01-01,606
214,2025-09-04,2025-10-22,15533
214,2025-11-13,2026-01-05,15241
215,2025-09-07,2025-09-27,6478
215,2025-10-21,2025-11-10,6625
215,2025-12-02,2025-12-26,6630
216,2025-09-08,2025-10-26,15534
216,2025-11-18,,16141
217,2025-08-17,2025-10-06,14292
217,2025-10-28,2025-12-20,14813
218,2025-08-12,2025-09-01,3834
218,2025-09-23,2025-10-13,3663
218,2025-11-07,2025-11-27,3442
218,2025-12-20,,3789
219,2025-06-22,2025-08-31,1143
219,2025-09-22,2025-12-05,1146
219,2025-12-31,,1129
220,2025-09-11,2025-10-29,15726
220,2025-11-20,2026-01-12,15808
221,2025-08-11,2025-09-07,1791
221,2025-09-29,2025-10-26,1796
221,2025-11-18,2025-12-16,1821
221,2026-01-11,,1772
222,2025-07-26,2025-09-14,16094
222,2025-10-06,2025-11-29,16285
222,2025-12-21,,15935
223,2025-09-20,2025-10-17,1761
223,2025-11-08,2025-12-05,1766
223,2025-12-30,,1718
224,2025-08-30,2025-09-19,5920
224,2025-10-20,2025-11-09,5784
224,2025-12-15,2026-01-08,6030
225,2025-01-28,,17235
226,2025-09-01,2025-09-28,1459
226,2025-10-20,2025-11-16,1462
226,2025-12-10,2026-01-10,1466
227,2025-09-03,2025-09-30,905
227,2025-10-23,2025-11-19,919
227,2025-12-11,2026-01-11,929
228,2025-09-10,2025-10-07,1262
228,2025-10-29,2025-11-25,1261
228,2025-12-19,,1243
229,2025-08-05,2025-09-01,2381
229,2025-09-23,2025-10-20,2407
229,2025-11-11,2025-12-08,2443
229,2026-01-02,,2426
230,2025-09-02,2025-10-21,14437
230,2025-11-12,2026-01-10,14826
231,2025-09-10,2025-10-07,708
231,2025-10-29,2025-11-25,719
231,2025-12-17,,707
232,2025-07-28,2025-09-15,15102
232,2025-10-07,2025-11-30,14664
232,2025-12-22,,14491
233,2025-07-15,2025-09-30,920
233,2025-10-22,2026-01-09,910
234,2025-08-05,2025-09-01,1932
234,2025-09-23,2025-10-20,1945
234,2025-11-12,2025-12-09,1938
234,2026-01-03,,1931
235,2025-09-03,2025-09-30,1349
235,2025-10-22,2025-11-18,1322
235,2025-12-10,2026-01-10,1327
236,2025-09-07,2025-10-26,15718
236,2025-11-17,,15621
237,2025-09-16,2025-11-04,14020
237,2025-11-30,,13966
238,2025-08-17,2025-10-10,16404
238,2025-11-04,2025-12-28,16391
239,2025-09-01,2025-09-28,1241
239,2025-10-22,2025-11-18,1228
239,2025-12-11,2026-01-11,1246
240,2025-09-19,2025-11-12,16103
240,2025-12-06,,16054
241,2025-09-16,2025-11-10,15389
241,2025-12-02,,14886
242,2025-09-09,2025-11-03,14724
242,2025-11-27,,15013
243,2025-09-20,2025-11-09,14050
243,2025-12-01,,14670
244,2025-08-18,2025-10-10,17473
244,2025-11-04,2026-01-02,17634
245,2025-08-10,2025-10-03,14080
245,2025-10-25,2025-12-17,13906
245,2026-01-11,,13782
246,2025-09-17,2025-11-10,15881
246,2025-12-02,,15497
247,2025-08-10,2025-09-06,2216
247,2025-10-01,2025-10-28,2192
247,2025-11-20,2025-12-18,2222
247,2026-01-11,,2201
248,2025-08-09,2025-10-02,15042
248,2025-10-25,2025-12-16,14915
248,2026-01-09,,15346
249,2025-08-10,2025-09-06,809
249,2025-09-28,2025-10-25,783
249,2025-11-16,2025-12-13,805
249,2025-12-14,2025-12-14,
249,2026-01-07,,805
250,2025-09-11,2025-11-24,311
250,2025-12-19,,320
251,2025-07-13,2025-09-05,12812
251,2025-09-27,2025-11-21,12947
251,2025-12-17,,13109
252,2025-08-17,2025-09-13,2063
252,2025-10-09,2025-11-05,2070
252,2025-11-28,2025-12-29,2109
253,2025-08-20,2025-10-11,12861
253,2025-11-02,2025-12-31,13384
254,2025-07-09,2025-09-01,15501
254,2025-09-23,2025-11-14,15163
254,2025-12-06,,15359
255,2025-07-18,2025-09-05,14186
255,2025-09-28,2025-11-16,14424
255,2025-12-08,,13904
256,2025-08-17,2025-10-04,13237
256,2025-10-26,2025-12-20,13972
256,2026-01-13,,13927
257,2025-07-19,2025-09-05,17057
257,2025-09-29,2025-11-23,16372
257,2025-12-16,,16468
258,2025-08-12,2025-09-01,4106
258,2025-09-23,2025-10-13,4045
258,2025-11-06,2025-11-26,4099
258,2025-12-21,,4067
259,2025-07-29,2025-09-19,15235
259,2025-10-17,2025-12-09,15300
259,2026-01-03,,14956
260,2025-09-17,2025-11-05,15502
260,2025-12-03,,15294
261,2025-09-04,2025-10-01,1466
261,2025-10-23,2025-11-19,1458
261,2025-12-11,2026-01-11,1478
263,2025-09-18,2025-10-08,6058
263,2025-11-04,2025-11-24,6205
263,2025-12-27,,6251
264,2025-09-04,2025-11-19,1125
264,2025-12-11,,1115
265,2025-09-19,2025-11-08,16553
265,2025-11-30,,16824
266,2025-09-16,2025-11-08,12835
266,2025-12-01,,12942
267,2025-08-16,2025-09-12,1605
267,2025-10-04,2025-10-31,1598
267,2025-11-24,2025-12-25,1580
268,2025-08-19,2025-10-08,15538
268,2025-11-03,2025-12-30,15079
269,2025-08-15,2025-09-11,1028
269,2025-10-03,2025-10-30,1029
269,2025-11-22,2025-12-20,1016
270,2025-09-13,2025-10-03,5613
270,2025-11-06,2025-11-26,5380
270,2026-01-10,,5685
271,2025-07-20,2025-09-10,13709
271,2025-10-02,2025-11-22,14153
271,2025-12-20,,14147
272,2025-08-01,2025-09-18,14992
272,2025-10-12,2025-12-02,15119
272,2025-12-28,,15032
273,2025-08-06,2025-09-02,1467
273,2025-09-25,2025-10-22,1443
273,2025-11-13,2025-12-10,1447
273,2026-01-04,,1482
274,2025-08-04,2025-09-23,14972
274,2025-10-15,2025-12-04,14938
274,2025-12-30,,14723
275,2025-08-02,2025-09-21,13982
275,2025-10-13,2025-12-07,13875
275,2026-01-05,,13387
276,2025-08-07,2025-09-28,15441
276,2025-10-20,2025-12-15,15022
276,2026-01-10,,15193
277,2025-09-08,2025-10-05,1681
277,2025-10-28,2025-11-24,1679
277,2025-12-16,,1690
278,2025-09-05,2025-09-25,5527
278,2025-10-30,2025-11-19,5284
278,2026-01-06,,5425
279,2025-08-02,2025-09-20,15693
279,2025-10-15,2025-12-05,16346
279,2025-12-30,,15909
280,2025-08-10,2025-10-03,15859
280,2025-10-25,2025-12-16,15131
280,2026-01-09,,15674
281,2025-09-03,2025-10-21,14632
281,2025-11-12,2026-01-09,15163
282,2025-08-11,2025-10-31,946
282,2025-11-24,,991
283,2025-09-19,2025-11-13,15105
283,2025-12-10,,14936
284,2025-09-20,2025-12-12,732
284,2026-01-08,,713
285,2025-08-08,2025-09-04,1313
285,2025-09-26,2025-10-23,1306
285,2025-11-15,2025-12-12,1300
285,2026-01-09,,1297
286,2025-09-19,2025-10-16,1926
286,2025-11-07,2025-12-04,1940
286,2025-12-29,,1959
287,2025-07-17,2025-09-10,13797
287,2025-10-02,2025-11-22,13667
287,2025-12-17,,14084
288,2025-02-06,,17504
289,2025-09-10,2025-10-07,1552
289,2025-10-30,2025-11-26,1559
289,2025-12-19,,1570
290,2025-09-01,2025-10-23,13790
290,2025-11-17,,13528
291,2025-09-20,2025-11-11,14333
291,2025-12-03,,14090
292,2025-08-02,2025-09-22,16281
292,2025-10-14,2025-12-08,15809
292,2026-01-02,,15861
293,2025-09-02,2025-10-24,14123
293,2025-11-16,2026-01-10,13660
294,2025-08-05,2025-09-01,2750
294,2025-09-25,2025-10-22,2792
294,2025-11-13,2025-12-10,2792
294,2026-01-04,,2722
295,2025-09-19,2025-10-16,2399
295,2025-11-08,2025-12-05,2412
295,2025-12-30,,2410
296,2025-09-12,2025-10-09,647
296,2025-10-31,2025-11-27,665
296,2025-12-19,,658
297,2025-08-28,2025-10-17,15477
297,2025-11-11,2026-01-07,16025
298,2025-09-19,2025-10-16,1309
298,2025-11-08,2025-12-05,1328
298,2026-01-01,,1326
299,2025-08-19,2025-09-15,1249
299,2025-10-08,2025-11-04,1282
299,2025-11-27,2025-12-28,1273
300,2025-09-06,2025-10-29,15343
300,2025-11-22,,15395
301,2025-08-18,2025-09-14,1805
301,2025-10-06,2025-11-02,1791
301,2025-11-24,2025-12-25,1832
302,2025-08-16,2025-09-12,1051
302,2025-10-04,2025-10-31,1031
302,2025-11-22,2025-12-20,1028
302,2026-01-13,,1016
303,2025-08-05,2025-09-27,16436
303,2025-10-20,2025-12-12,16618
303,2026-01-08,,16853
304,2025-09-26,2025-11-15,14570
304,2025-12-07,,14893
305,2025-08-29,2025-09-25,1524
305,2025-10-17,2025-11-13,1513
305,2025-12-06,2026-01-06,1529
306,2025-09-13,2025-10-31,14420
306,2025-11-22,,14432
307,2025-09-09,2025-11-01,14619
307,2025-11-23,,14974
308,2025-06-23,2025-09-10,866
308,2025-10-07,2025-12-21,878
309,2025-07-12,2025-08-31,16232
309,2025-09-25,2025-11-17,16184
309,2025-12-09,,15713
