"date","source_farm","dest_farm","volume"
2025-09-05,1598,1057,885
2025-09-05,1598,7730,3691
2025-09-05,2174,6371,3414
2025-09-05,2404,3389,1793
2025-09-05,2404,3753,878
2025-09-05,2404,3981,2004
2025-09-05,3561,6792,4178
2025-09-05,3724,1576,1242
2025-09-05,3724,5155,2241
2025-09-05,3724,5593,2875
2025-09-05,3875,5099,1659
2025-09-05,3875,6623,3698
2025-09-05,4412,5359,2859
2025-09-05,4412,7203,3107
2025-09-05,4575,5603,3018
2025-09-05,4575,5686,2419
2025-09-05,4930,5951,3570
2025-09-05,4930,7727,2178
2025-09-05,5782,2481,994
2025-09-05,5782,5569,2255
2025-09-05,5782,7680,3902
2025-09-05,6130,4206,1383
2025-09-05,6130,4385,781
2025-09-05,6130,6218,3655
2025-09-05,6402,2395,2085
2025-09-05,6402,4222,1601
2025-09-05,6402,6514,2744
2025-09-05,7035,1932,1497
2025-09-05,7035,4786,2563
2025-09-05,7178,464,733
2025-09-05,7178,535,1788
2025-09-05,7178,7143,3448
2025-09-05,7186,6476,2180
2025-09-05,7186,8027,2077
2025-09-05,8345,3182,1855
2025-09-05,8345,4118,1905
2025-09-06,185,1360,2614
2025-09-06,185,2978,2485
2025-09-06,313,1164,1444
2025-09-06,313,4537,2367
2025-09-06,313,4976,2408
2025-09-06,860,8555,3581
2025-09-06,1180,4733,909
2025-09-06,1180,7005,3605
2025-09-06,1238,572,1698
2025-09-06,1238,5177,1414
2025-09-06,1238,5340,3284
2025-09-06,1572,6851,3646
2025-09-06,1689,397,2671
2025-09-06,1689,5961,1659
2025-09-06,1993,6567,3436
2025-09-06,2667,9150,3932
2025-09-06,3140,7822,3827
2025-09-06,3904,2322,648
2025-09-06,3904,4078,1765
2025-09-06,3904,8846,3037
2025-09-06,4106,6644,2833
2025-09-06,4106,8530,1953
2025-09-06,4744,9026,3861
2025-09-06,4935,2719,1284
2025-09-06,4935,3234,1690
2025-09-06,4935,3979,2241
2025-09-06,5210,7152,4110
2025-09-06,5405,5409,4124
2025-09-06,5445,4099,1875
2025-09-06,5445,5805,3768
2025-09-06,6004,6233,3068
2025-09-06,6004,6438,2886
2025-09-06,6261,3763,1369
2025-09-06,6261,6048,2686
2025-09-06,6261,7537,3240
2025-09-06,6307,4256,1060
2025-09-06,6307,5294,2232
2025-09-06,6307,7891,2365
2025-09-06,6373,3097,1173
2025-09-06,6373,7682,3909
2025-09-06,6706,6301,4005
2025-09-06,6706,8825,3685
2025-09-06,6836,3021,928
2025-09-06,6836,3341,1746
2025-09-06,6836,4032,1501
2025-09-06,7279,4062,1184
2025-09-06,7279,5713,2781
2025-09-06,7781,463,836
2025-09-06,7781,966,2261
2025-09-06,7781,8929,3530
2025-09-06,8099,3447,1573
2025-09-06,8099,4925,2224
2025-09-06,8099,7637,3112
2025-09-06,8122,8495,3733
2025-09-06,8321,2936,2545
2025-09-06,8321,4184,768
2025-09-06,8619,3622,677
2025-09-06,8619,4538,1452
2025-09-06,8619,5110,1443
2025-09-06,9033,484,1451
2025-09-06,9033,6554,3031
2025-09-06,9033,6652,3211
2025-09-07,78,6957,1908
2025-09-07,78,7883,3062
2025-09-07,178,321,1386
2025-09-07,178,5602,3362
2025-09-07,178,8022,2609
2025-09-07,211,6164,2221
2025-09-07,211,7937,3134
2025-09-07,763,6123,3381
2025-09-07,1059,865,1362
2025-09-07,1059,8458,3748
2025-09-07,1278,330,1926
2025-09-07,1278,485,2938
2025-09-07,1278,5018,1108
2025-09-07,2707,357,1858
2025-09-07,2707,1321,1639
2025-09-07,2715,6054,2893
2025-09-07,2715,7491,3554
2025-09-07,2799,6964,3524
2025-09-07,2799,7972,1903
2025-09-07,3003,683,1542
2025-09-07,3003,1316,1211
2025-09-07,3003,8752,4384
2025-09-07,3362,2538,850
2025-09-07,3362,3296,1474
2025-09-07,3362,8194,2853
2025-09-07,3583,1340,1379
2025-09-07,3583,8906,2414
2025-09-07,3643,1184,816
2025-09-07,3643,5511,2735
2025-09-07,3643,5756,2872
2025-09-07,4021,2376,2310
2025-09-07,4021,6292,3350
2025-09-07,4576,7948,4431
2025-09-07,4915,1254,2305
2025-09-07,4915,1656,2050
2025-09-07,6296,5439,3732
2025-09-07,6296,6923,2996
2025-09-07,6347,1679,1427
2025-09-07,6347,5117,1338
2025-09-07,6347,8293,1861
2025-09-07,6727,2583,996
2025-09-07,6727,2743,1323
2025-09-07,6727,8167,4393
2025-09-07,6915,1792,1828
2025-09-07,6915,2048,1519
2025-09-07,6915,2178,594
2025-09-07,7337,7502,4256
2025-09-07,9140,1012,606
2025-09-07,9140,1546,1460
2025-09-07,9140,6230,3940
2025-09-08,30,6204,3301
2025-09-08,30,8912,3397
2025-09-08,128,3313,1131
2025-09-08,128,5576,3183
2025-09-08,488,314,2211
2025-09-08,488,4826,1391
2025-09-08,1266,61,2018
2025-09-08,1266,444,1428
2025-09-08,1756,2945,518
2025-09-08,1756,3472,1727
2025-09-08,1756,6358,2576
2025-09-08,3152,6007,4606
2025-09-08,3449,2859,1874
2025-09-08,3449,3358,1138
2025-09-08,3449,3366,1610
2025-09-08,3460,2997,998
2025-09-08,3460,8505,2972
2025-09-08,4497,5540,3045
2025-09-08,4497,7134,3190
2025-09-08,4584,5106,776
2025-09-08,4584,8849,3041
2025-09-08,4584,9065,3177
2025-09-08,5122,1571,1551
2025-09-08,5122,5217,1411
2025-09-08,5122,7361,2424
2025-09-08,5353,1796,685
2025-09-08,5353,6606,2791
2025-09-08,5353,8835,2978
2025-09-08,5480,5236,1969
2025-09-08,5480,7493,2655
2025-09-08,5500,7722,3800
2025-09-08,5663,4125,1528
2025-09-08,5663,5476,4451
2025-09-08,5669,2148,1501
2025-09-08,5669,7661,3073
2025-09-08,5758,3465,1653
2025-09-08,5758,4226,1990
2025-09-08,5758,4259,1551
2025-09-08,5771,2258,1680
2025-09-08,5771,3700,1632
2025-09-08,5771,4024,925
2025-09-08,5915,5161,924
2025-09-08,5915,6639,2505
2025-09-08,5915,8528,2023
2025-09-08,6534,1634,1568
2025-09-08,6534,6059,3320
2025-09-08,6965,2813,1970
2025-09-08,6965,3198,1249
2025-09-08,6965,7509,2205
2025-09-08,6993,2318,1972
2025-09-08,6993,2380,1871
2025-09-08,6993,7733,3265
2025-09-08,7606,277,1681
2025-09-08,7606,2117,814
2025-09-08,7606,2970,973
2025-09-08,7665,1197,2183
2025-09-08,7665,8673,2901
2025-09-08,7747,5285,4867
2025-09-08,7785,4281,752
2025-09-08,7785,5246,892
2025-09-08,7785,7657,2693
2025-09-08,8117,3404,2471
2025-09-08,8117,5202,2282
2025-09-08,9095,6171,3909
2025-09-08,9148,8311,3724
2025-09-09,999,1218,2582
2025-09-09,999,1849,2513
2025-09-09,1908,976,829
2025-09-09,1908,1797,2276
2025-09-09,1908,1925,1411
2025-09-09,2928,2370,2592
2025-09-09,2928,5180,1200
2025-09-09,2928,9091,3100
2025-09-09,3412,2206,1231
2025-09-09,3412,2284,1815
2025-09-09,3412,2480,2348
2025-09-09,3787,2690,2541
2025-09-09,3787,8487,4166
2025-09-09,3855,2752,1316
2025-09-09,3855,6096,2075
2025-09-09,3855,6866,3239
2025-09-09,4094,7560,4218
2025-09-09,4440,547,1310
2025-09-09,4440,2067,1075
2025-09-09,4440,5510,3933
2025-09-09,5695,1153,1823
2025-09-09,5695,1702,590
2025-09-09,5695,4162,1125
2025-09-09,5711,3498,743
2025-09-09,5711,7180,3254
2025-09-09,5856,25,1379
2025-09-09,5856,1556,789
2025-09-09,5856,6682,3888
2025-09-09,5859,5174,1394
2025-09-09,5859,7519,2299
2025-09-09,6044,6266,2336
2025-09-09,6044,9118,3295
2025-09-09,6558,9096,3707
2025-09-09,6562,4581,777
2025-09-09,6562,6471,2174
2025-09-09,6562,8764,1843
2025-09-09,6876,1579,1761
2025-09-09,6876,1847,2088
2025-09-09,6911,4238,1797
2025-09-09,6911,5980,3523
2025-09-09,7303,499,1842
2025-09-09,7303,1581,857
2025-09-09,7303,6356,2783
2025-09-09,7401,2169,767
2025-09-09,7401,5728,3335
2025-09-09,7401,5988,2556
2025-09-09,8150,3654,671
2025-09-09,8150,7363,3854
2025-09-09,8150,8996,2629
2025-09-09,8864,604,1927
2025-09-09,8864,700,1718
2025-09-10,118,7162,2923
2025-09-10,118,8259,3109
2025-09-10,621,421,1613
2025-09-10,621,1433,1192
2025-09-10,621,1668,1795
2025-09-10,1030,228,1262
2025-09-10,1030,695,821
2025-09-10,1030,5054,1442
2025-09-10,1376,289,1552
2025-09-10,1376,5136,1351
2025-09-10,1376,5909,3011
2025-09-10,1660,5120,1141
2025-09-10,1660,6386,2342
2025-09-10,1660,8812,2683
2025-09-10,2606,5434,3035
2025-09-10,2606,6807,2135
2025-09-10,3045,2820,1257
2025-09-10,3045,5632,2640
2025-09-10,3045,5916,2399
2025-09-10,3215,1450,1301
2025-09-10,3215,6763,2849
2025-09-10,3215,7578,3162
2025-09-10,3334,8180,4455
2025-09-10,3785,4624,1597
2025-09-10,3785,7719,4630
2025-09-10,3903,4071,1346
2025-09-10,3903,8917,2973
2025-09-10,4860,6079,3881
2025-09-10,4860,6661,2517
2025-09-10,4871,1823,975
2025-09-10,4871,8827,3114
2025-09-10,4948,2661,1715
2025-09-10,4948,3714,1671
2025-09-10,5201,4170,1254
2025-09-10,5201,7064,3009
2025-09-10,5678,5878,3552
2025-09-10,5873,1403,2212
2025-09-10,5873,4475,1951
2025-09-10,6092,2396,1783
2025-09-10,6092,5631,3380
2025-09-10,6192,8352,3672
2025-09-10,6192,8518,2597
2025-09-10,6423,1001,1766
2025-09-10,6423,8811,2939
2025-09-10,6936,4276,1707
2025-09-10,6936,5928,2743
2025-09-10,8187,5736,3314
2025-09-10,8187,7196,3681
2025-09-10,8543,231,708
2025-09-10,8543,786,1418
2025-09-10,8543,1190,1880
2025-09-11,381,460,1366
2025-09-11,381,8102,3325
2025-09-11,1053,8624,3902
2025-09-11,2255,3105,964
2025-09-11,2255,4847,1159
2025-09-11,2255,6136,2726
2025-09-11,2383,2577,2494
2025-09-11,2383,3253,1336
2025-09-11,2383,3879,1443
2025-09-11,2393,6654,3585
2025-09-11,4952,5318,4698
2025-09-11,5127,2624,1434
2025-09-11,5127,7746,2786
2025-09-11,6056,6353,3272
2025-09-11,6490,3163,752
2025-09-11,6490,3391,1653
2025-09-11,6490,8612,1938
2025-09-11,6865,3094,1722
2025-09-11,6865,7038,1947
2025-09-11,6865,8287,2657
2025-09-11,7345,5221,1385
2025-09-11,7345,6198,4811
2025-09-11,7575,4195,1026
2025-09-11,7575,7217,3356
2025-09-11,8043,8758,3341
2025-09-11,8144,1105,2456
2025-09-11,8144,5134,782
2025-09-11,8144,6900,2244
2025-09-11,8268,2844,2279
2025-09-11,8268,5346,4163
2025-09-11,8301,3098,682
2025-09-11,8301,3909,1366
2025-09-11,8301,5939,4131
2025-09-11,8659,6419,3343
2025-09-11,8659,7671,1770
2025-09-12,676,3228,1844
2025-09-12,676,6467,2661
2025-09-12,996,4592,1439
2025-09-12,996,5990,3652
2025-09-12,996,6139,3146
2025-09-12,2150,873,2253
2025-09-12,2150,1020,706
2025-09-12,2150,1954,997
2025-09-12,2214,2298,606
2025-09-12,2214,3431,1355
2025-09-12,2214,3552,1974
2025-09-12,2262,2239,1212
2025-09-12,2262,2641,1724
2025-09-12,2262,3249,1761
2025-09-12,2438,2421,905
2025-09-12,2438,2467,1954
2025-09-12,2438,6816,3742
2025-09-12,3238,4830,2834
2025-09-12,3238,6933,3604
2025-09-12,4767,1492,1690
2025-09-12,4767,1877,500
2025-09-12,4767,5812,2510
2025-09-12,5335,4838,2052
2025-09-12,5335,8837,2809
2025-09-12,5539,2683,549
2025-09-12,5539,2926,1056
2025-09-12,5539,8367,3507
2025-09-12,5869,2888,846
2025-09-12,5869,3232,2115
2025-09-12,5869,6777,3927
2025-09-12,6200,5345,3135
2025-09-12,6200,6359,2653
2025-09-12,6220,652,1311
2025-09-12,6220,5468,3744
2025-09-12,6289,199,2069
2025-09-12,6289,850,1706
2025-09-12,6289,1034,513
2025-09-12,6489,355,956
2025-09-12,6489,5726,3157
2025-09-12,6643,5688,3542
2025-09-12,6774,3803,864
2025-09-12,6774,4079,2088
2025-09-12,6774,4556,1343
2025-09-12,7028,3544,1009
2025-09-12,7028,3711,2609
2025-09-12,7563,5582,3259
2025-09-12,7563,6041,3032
2025-09-12,7563,7354,2027
2025-09-12,7570,2968,1252
2025-09-12,7570,5150,2010
2025-09-12,7570,5325,3998
2025-09-12,8196,8903,3235
2025-09-12,8291,1346,1254
2025-09-12,8291,6583,3264
2025-09-12,8548,296,647
2025-09-12,8548,7278,2548
2025-09-12,8548,8456,3044
2025-09-13,1137,2977,1461
2025-09-13,1137,2979,1587
2025-09-13,1137,8529,2962
2025-09-13,1516,2610,591
2025-09-13,1516,5170,1875
2025-09-13,1516,6314,2605
2025-09-13,1913,6632,4162
2025-09-13,1959,8348,4029
2025-09-13,2087,6032,3860
2025-09-13,2112,410,1296
2025-09-13,2112,7319,2979
2025-09-13,2154,2031,2386
2025-09-13,2154,5531,3308
2025-09-13,2560,3497,1088
2025-09-13,2560,6517,3830
2025-09-13,2588,8264,3863
2025-09-13,2659,796,1400
2025-09-13,2659,2677,1567
2025-09-13,2659,6504,3958
2025-09-13,2956,2625,1537
2025-09-13,2956,3282,1435
2025-09-13,2956,8172,2992
2025-09-13,3274,1146,1016
2025-09-13,3274,7917,2309
2025-09-13,3290,1130,1949
2025-09-13,3290,4290,2077
2025-09-13,3290,7857,3697
2025-09-13,3615,2746,1956
2025-09-13,3615,6064,1783
2025-09-13,3932,3873,2056
2025-09-13,3932,6045,3025
2025-09-13,5072,3867,1002
2025-09-13,5072,7525,3102
2025-09-13,5072,8631,3262
2025-09-13,5360,693,1776
2025-09-13,5360,1394,534
2025-09-13,5360,8818,3616
2025-09-13,6377,8669,3243
2025-09-13,6743,109,617
2025-09-13,6743,2080,1110
2025-09-13,6743,3386,1935
2025-09-13,6868,1324,631
2025-09-13,6868,5857,3599
2025-09-13,6868,7165,3588
2025-09-13,7400,3179,1230
2025-09-13,7400,6122,3721
2025-09-13,8279,2460,1917
2025-09-13,8279,2717,1511
2025-09-13,8279,4232,2096
2025-09-13,8552,6612,3341
2025-09-13,8552,8254,2475
2025-09-14,200,2795,1815
2025-09-14,200,3674,1383
2025-09-14,200,6418,1944
2025-09-14,412,857,879
2025-09-14,412,6975,3809
2025-09-14,412,7944,3231
2025-09-14,1497,5509,3929
2025-09-14,1875,747,1241
2025-09-14,1875,4780,498
2025-09-14,1875,7399,3205
2025-09-14,2447,7675,2424
2025-09-14,2447,7934,3159
2025-09-14,2699,2971,1899
2025-09-14,2699,3565,1868
2025-09-14,3311,3202,1375
2025-09-14,3311,6761,3423
2025-09-14,3624,3339,1182
2025-09-14,3624,7870,2101
2025-09-14,4357,975,937
2025-09-14,4357,6068,1820
2025-09-14,4357,6453,3457
2025-09-14,4594,809,886
2025-09-14,4594,8506,3210
2025-09-14,4953,2400,582
2025-09-14,4953,2435,1198
2025-09-14,4953,5332,2369
2025-09-14,5030,8076,4082
2025-09-14,5037,175,1947
2025-09-14,5037,615,1772
2025-09-14,5037,1503,1185
2025-09-14,5065,3328,1622
2025-09-14,5065,6587,2666
2025-09-14,5065,8592,2322
2025-09-14,5640,7615,3889
2025-09-14,5640,8829,2904
2025-09-14,5761,4958,1129
2025-09-14,5761,5731,1626
2025-09-14,5761,7033,3435
2025-09-14,5920,1094,1946
2025-09-14,5920,2061,1681
2025-09-14,6651,3924,1802
2025-09-14,6651,4132,1994
2025-09-14,6651,4229,2284
2025-09-14,6704,2621,2659
2025-09-14,6704,2885,1402
2025-09-14,6704,3127,1174
2025-09-14,6747,3147,1556
2025-09-14,6747,3928,1492
2025-09-14,6747,7377,2279
2025-09-14,7826,7689,2534
2025-09-14,7826,8791,2570
2025-09-14,7872,8919,4928
2025-09-14,7912,3741,734
2025-09-14,7912,5936,3367
2025-09-14,8100,3969,1421
2025-09-14,8100,4885,537
2025-09-14,8100,7280,4155
2025-09-14,8132,1304,1848
2025-09-14,8132,3378,2041
2025-09-14,8132,5061,866
2025-09-14,8747,731,1076
2025-09-14,8747,1477,2191
2025-09-15,110,3606,1394
2025-09-15,110,6181,1632
2025-09-15,110,7640,3159
2025-09-15,982,188,1487
2025-09-15,982,622,2651
2025-09-15,1374,49,1409
2025-09-15,1374,583,1038
2025-09-15,1374,5854,3046
2025-09-15,1423,7274,4185
2025-09-15,1603,3067,1585
2025-09-15,1603,3133,2008
2025-09-15,1603,6265,2834
2025-09-15,2712,2413,1483
2025-09-15,2712,3781,1107
2025-09-15,2712,5890,2849
2025-09-15,2904,3161,898
2025-09-15,2904,5266,2095
2025-09-15,2904,6420,4249
2025-09-15,3342,5263,3478
2025-09-15,3521,4565,2084
2025-09-15,3521,5832,4016
2025-09-15,3862,884,933
2025-09-15,3862,1833,2505
2025-09-15,3862,2001,2304
2025-09-15,4470,2026,1719
2025-09-15,4470,8341,4034
2025-09-15,4560,8583,4075
2025-09-15,5362,7939,3851
2025-09-15,5369,7530,3938
2025-09-15,6396,1096,1665
2025-09-15,6396,4140,1055
2025-09-15,6396,5162,756
2025-09-15,6455,7503,3472
2025-09-15,6455,8621,2389
2025-09-15,6465,2065,1510
2025-09-15,6465,4389,1456
2025-09-15,6465,7372,3034
2025-09-15,6529,2497,2117
2025-09-15,6529,2894,1696
2025-09-15,6529,3013,2114
2025-09-15,7298,592,1639
2025-09-15,7298,5746,2661
2025-09-15,7634,2559,1957
2025-09-15,7634,3350,1885
2025-09-15,7634,7088,4122
2025-09-15,8851,2254,1155
2025-09-15,8851,3112,1049
2025-09-15,8851,3962,1907
2025-09-15,9145,1452,1524
2025-09-15,9145,1609,1792
2025-09-15,9145,2200,1375
2025-09-16,427,3601,2368
2025-09-16,427,5385,4350
2025-09-16,858,5390,3098
2025-09-16,858,6518,2689
2025-09-16,858,7478,2758
2025-09-16,1410,1446,1591
2025-09-16,1410,1517,2392
2025-09-16,1909,5849,1849
2025-09-16,1909,7723,3146
2025-09-16,1909,8148,1642
2025-09-16,1982,354,2352
2025-09-16,1982,414,1075
2025-09-16,1982,1927,1897
2025-09-16,2029,861,751
2025-09-16,2029,4213,1669
2025-09-16,2029,6827,2191
2025-09-16,2062,2739,1209
2025-09-16,2062,6216,2315
2025-09-16,2193,5744,2999
2025-09-16,2193,6262,4551
2025-09-16,2537,4364,1888
2025-09-16,2537,5052,1965
2025-09-16,2576,3365,1513
2025-09-16,2576,3501,1300
2025-09-16,2576,3505,1525
2025-09-16,3012,3330,2015
2025-09-16,3012,6858,3399
2025-09-16,3106,2231,2340
2025-09-16,3106,8522,3395
2025-09-16,3445,2608,1512
2025-09-16,3445,3272,1198
2025-09-16,3445,3380,2194
2025-09-16,3719,2495,1124
2025-09-16,3719,6372,2677
2025-09-16,3776,2967,506
2025-09-16,3776,3071,1766
2025-09-16,3776,3245,1659
2025-09-16,4135,1210,1204
2025-09-16,4135,1574,1979
2025-09-16,4135,6824,3042
2025-09-16,4311,1677,654
2025-09-16,4311,8205,2925
2025-09-16,5295,492,1896
2025-09-16,5295,5721,3440
2025-09-16,5802,7107,1754
2025-09-16,5802,7961,2451
2025-09-16,6488,3779,1717
2025-09-16,6488,8679,2855
2025-09-16,6573,3414,2585
2025-09-16,6573,4075,1946
2025-09-16,6573,8831,3329
2025-09-16,7471,4253,901
2025-09-16,7471,5634,2820
2025-09-16,7471,8342,3437
2025-09-16,7949,503,1266
2025-09-16,7949,2144,1090
2025-09-16,7949,6100,2571
2025-09-16,8173,5999,3891
2025-09-16,8173,8900,3053
2025-09-16,8304,6407,3957
2025-09-16,8490,3260,2318
2025-09-16,8490,6676,2325
2025-09-16,8641,8877,3417
2025-09-16,8924,1285,962
2025-09-16,8924,7968,3355
2025-09-17,458,823,881
2025-09-17,458,9057,3354
2025-09-17,915,9158,4107
2025-09-17,1015,5997,3745
2025-09-17,1173,977,960
2025-09-17,1173,7683,2719
2025-09-17,1722,6901,4411
2025-09-17,2121,1831,1881
2025-09-17,2121,1937,1057
2025-09-17,2121,5041,1522
2025-09-17,2522,2542,1377
2025-09-17,2522,7224,2946
2025-09-17,2866,2365,2143
2025-09-17,2866,2490,791
2025-09-17,2866,2688,1359
2025-09-17,3178,1619,2039
2025-09-17,3178,2286,741
2025-09-17,3178,4877,1525
2025-09-17,3666,3627,2312
2025-09-17,3666,5191,1569
2025-09-17,5071,409,2252
2025-09-17,5071,1475,1966
2025-09-17,5071,1813,1624
2025-09-17,5232,3214,876
2025-09-17,5232,3218,1659
2025-09-17,5232,7690,3326
2025-09-17,5244,3195,1664
2025-09-17,5244,6223,2432
2025-09-17,6327,3884,2150
2025-09-17,6327,4591,956
2025-09-17,6327,8896,2857
2025-09-17,6498,1192,678
2025-09-17,6498,4151,1402
2025-09-17,6498,6685,2697
2025-09-17,6561,4737,1328
2025-09-17,6561,7701,3985
2025-09-17,7414,1806,2222
